,Index,imdbId,Uri,Title,IMDB_rating,Genre,Poster,Path,n_faces,dominant_color,median_lightness
0,13877,95022,http://www.imdb.com/title/tt95022,The Dirty Dozen: The Fatal Mission (1988),5.2,Action|Adventure|War,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NDYwMDg2Ml5BMl5BanBnXkFtZTcwNDU5ODIzMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",95022.jpg,3,black,84.0
1,13503,96126,http://www.imdb.com/title/tt96126,Sobache serdtse (1988),8.9,Comedy|Drama|Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDZhMDQ2OTYtY2VkNC00MGUzLThhM2MtYjk5Mjc5YWU2Y2RkXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UY268_CR3,0,182,268_AL_.jpg",96126.jpg,1,olive,169.0
2,1364,94155,http://www.imdb.com/title/tt94155,Tin Men (1987),6.5,Comedy|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2OTU1MzI1NF5BMl5BanBnXkFtZTcwODgyMzcyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",94155.jpg,0,silver,208.0
3,26995,3317326,http://www.imdb.com/title/tt3317326,The Trip to Bountiful (2014),7.0,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwODI5MDQyOF5BMl5BanBnXkFtZTgwMzM4NTYxMTE@._V1_UY268_CR9,0,182,268_AL_.jpg",3317326.jpg,1,white,224.0
4,1937,94947,http://www.imdb.com/title/tt94947,Dangerous Liaisons (1988),7.7,Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDZmODc0MWQtYWVjOS00OGFiLWExNjItOTMyN2Q5ZTFmYzUzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",94947.jpg,1,black,110.0
5,25333,2357003,http://www.imdb.com/title/tt2357003,Bound by Flesh (2012),6.5,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4NjU2MzkyNl5BMl5BanBnXkFtZTgwMzUzMjA4MTE@._V1_UX182_CR0,0,182,268_AL_.jpg",2357003.jpg,0,yellow,236.0
6,30658,1671616,http://www.imdb.com/title/tt1671616,18 comidas (2010),6.5,Comedy|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4Njc4NDc1MV5BMl5BanBnXkFtZTcwMjk5MjkwNw@@._V1_UY268_CR3,0,182,268_AL_.jpg",1671616.jpg,0,maroon,120.0
7,23384,69808,http://www.imdb.com/title/tt69808,Blume in Love (1973),6.5,Comedy|Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4NjA4MDQyNF5BMl5BanBnXkFtZTcwMjQ2MTQ0MQ@@._V1_UY268_CR16,0,182,268_AL_.jpg",69808.jpg,0,white,161.0
8,16300,870210,http://www.imdb.com/title/tt870210,All Tomorrow's Parties (2009),7.2,Documentary|Music,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwNTg3NzUwOF5BMl5BanBnXkFtZTcwODcwOTIxMw@@._V1_UY268_CR4,0,182,268_AL_.jpg",870210.jpg,9,white,238.0
9,1558,102494,http://www.imdb.com/title/tt102494,My Own Private Idaho (1991),7.1,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDgxMGU3YTEtODEzOC00MGVlLTk4OWUtYmY0ODU0OTI1NmMxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",102494.jpg,0,white,199.0
10,12004,832903,http://www.imdb.com/title/tt832903,Manufactured Landscapes (2006),7.3,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BODUyMzUzNDQ2Nl5BMl5BanBnXkFtZTcwNDc3OTQ1MQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",832903.jpg,0,white,204.0
